ward_no,representative,female,population,category,area,ward_name,st,localities,sc,constituency,male
147,S.M.Murugesh Modaliyar (INC),14269,29945,General,1.6,Adugodi,411,"['Rajendra Nagar', ' Rajendra Nagar slum', ' Venkataswamy Reddy layout', ' Mallappa Reddy layout', ' Nanjappa Reddy Layout', ' K R Nanjappa Layout', ' NDRI campus', ' Adugodi (P)', ' Kaveri Sankeerna', ' Police Quarters', ' Netravathi 1 to 10 blocks', ' Nandi Sankeerna 1 to 32 blocks and Tippu blocks', ' Koramangala 7th block']",5381,B T M Layout,15676
114,Sarala (INC),15524,35632,Scheduled Caste,11.26,Agaram,167,"['Cambridge layout', ' Jeevan Kendra Layout', ' Goutampuram', ' Defence Area', ' Agram farm', ' Jayaraj Nagar', ' Victoria Layout', ' Maya Bazar', ' Police quarters', ' BDA flats']",12434,Shanthinagar,20108
105,Roopa Devi (BJP),12716,26857,Backward Category A (Women),0.8,Agrahara Dasarahalli,433,"['Indira Colony', ' West of Chord road 4th Stage', ' Agrahara Dasarahalli', ' Oddarapalya (P)']",3172,Govindrajnagar,14141
56,S.S.Prasad (BJP),14014,29420,Backward Category A,2.15,A Narayanapura,118,"['Jyothipuram', ' Mahadevapura', ' A Narayanpura', ' Pai Layout', ' Uday Nagar', ' Defence Accountant Employee Layout', ' ITI Employee Housing Colony', ' A Narayanapura Extn.', ' Chinnappa Colony']",5827,K R Puram,15406
196,S.Gangadhar (INC),10293,21080,General,11.92,Anjanapura,226,"['Soudhamini Layout', ' Muneshwar Nagar', ' Avalahalli Colony', ' Vishaweshavaraiah Industrial Layout', ' Bank Officers Layout', ' BDA Layout', ' RB Raj Nagar', ' JP Nagar 9th Phase', ' Anjnapura', ' Anjnapura 2nd & 3rd Block', ' Anjnapura 7th 8th 10th&11th Block', ' Anjnapura Township 8th Block', ' Anjanpura  - 4th - 5th - 5th G 6th Block', ' Jethendra Nagar', ' Kidwai Layout', ' Classic Layout', ' BDA Layout', ' Lakshmi Dorai Layout', ' Meenakshi Residency Layout', ' Galaxy Layout', ' South Avenue Residency Layout', ' Aditya Nagar']",2671,Bangalore South,10787
193,A.N.Purushotham (BJP),11574,25003,General,6.45,Arakere,258,"['Omkar Nagar', ' Syndicate Bank Colony', ' Srinivaslu Layout', ' Vijayashree Layout', ' Mutturayaswamy Layout', ' Janatha Colony', ' Madhavan Colony', ' Hulimavu', ' Muneshwara Colony', ' Pai Layout', ' Shanthinikethan Housing Colony', ' Arakere Layout', ' BTS Layout', ' Hanuman Nagar', ' Arakere', ' Indira Priyadrshini Colony', ' Samarat Layout', ' Vijaya Layout', ' Jayamaruthi Layout', ' Indira Gandhi Housing Colony', ' Vysya Bank Layout', ' Pavani Shrungeri Nagar', ' Shirdi Sai Nagar', ' Nyanappanhalli', ' Lakshmi Layout', ' Majunath Layout', ' Arkere Mico Layout', ' Brindavan Extn.', ' Hulimavu Kere']",3311,Bommanahalli,13429
35,Dr.M.S.Shiva Prasad (BJP),14176,30397,General,7.47,Aramane Nagara,319,"[u'M S Ramaiah Nagar', u' Indian Institute of Science (IISc) Campus', u' IAF Quarters', u' Sankey\u2019s tank', u' Palace ground', u' Malleswaram (P)', u' Ashwathnagar', u' AGS Officers Layout', u' ITI Layout', u' Sadashiva Nagar', u' RMV 2nd Stage 1st Block']",2376,Malleshwaram,16221
132,K.Doddanna (INC),12817,26806,General,1.39,Attiguppe,237,"['Dwaraka Nagar', ' Nisarga Layout', ' Maruthi Nagar', ' Bapuji Nagar', ' Basaveshwar HBCS Layout', ' Widia Layout', ' BHEL Township', ' Income Tax Layout', ' Attiguppe', ' Binny Mills Employees Colony', ' Agromar Layout', ' BCC Layout', ' Nethaji Layout', ' Laripalya']",1318,Vijayanagar,13989
3,K.N.Geetha Shashikumar (BJP),10891,24020,General (Women),10.15,Atturu,665,"['Ananthapura', ' Chikka Bettahalli', ' Dodda Bettahalli', ' Bharat Nagar (MS Palya)', ' Chandrappa Layout', ' Hill side meadows layout', ' Sai Nagar Phase I and II', ' Basavalingappa Layout', ' Netravathi Layout (P)', ' Sai orchards', ' Best country 3', ' G Ramaiah Layout', ' Jyothi Nagar', ' GPF Layout', ' Muneshwara Layout 1st and 2nd Phases', ' Hariraju Layout', ' Vaderahalli kere', ' AMS Layout', ' Veerasagara kere', ' Thirumala Nagar', ' Atturu Layout', ' Muneshwara Layout (Atturu)', ' Ananda Nagar', ' Atturu', ' Atturu kere', ' KHB apartments', ' Yelahanka 4th and 5th Stages', ' 208-SFS colony', ' Central excise and custom staff quarters', ' Air force quarters', ' Yelahanka new town', ' KSIDC industrial estate', ' WAP staff quarters']",2921,Yelahanka,13129
141,Gowramma (INC),17157,35741,General (Women),0.67,Azad Nagar,780,"['Kasturba Nagar', ' Bhakta Markendeya Layout', ' Vittal Nagar', ' Adarsh Nagar', ' Azad Nagar', ' Madigarpalya (Valmiki Nagara)', ' Ramchandra Agrahara']",2189,Chamarajpet,18584
14,B.R.Chandrashekhar (BJP),13147,28306,General,4.43,Bagalakunte,641,"['Sidedahalli', ' NMH Layout', ' Soundarya Layout', ' MHR Layout', ' Siddeshwar Layout', ' Meenakshi Garden Enclave', ' Kirloskar plots', ' Sampangi Layout', ' MEI Employees Housing Colony', ' Bagalakunte', ' Bagalakunte kere', ' Manjunath Nagar', ' Widia Kennametal industry', ' Defence Colony', ' Bhuvaneshwari Nagar', ' Havnoor Extension', ' M S Ramaiah Layout']",1627,Dasarahalli,15159
27,A.Kodanda Reddy (BJP),15364,31998,General,3.46,Banasavadi,263,"['HRBR Layout 1st and 2nd (P) blocks', ' PNS Layout', ' Subbayya playa extention', ' Chowdeshwari Layout', ' Jai Jawan Nagar', ' Yerra Reddy Layout', ' Ex-Servicemen colony', ' Ramaiah Layout', ' Banasvadi', ' Dodda Banasvadi', ' Annaiah Reddy Layout', ' Vijaya Bank colony', ' OMBR Layout']",3419,Sarvagna Nagar,16634
180,Mohammed Ali (JD (S)),16571,34022,General,0.68,Banashankari Temple ward,494,"[u'Teacher\u2019s Colony', u' Bhavani Nagar', u' Eshwar Nagar', u' Vivekanada Colony', u' Sarabanda Palya', u' Gangadhar Nagar', u' Yarab Nagar', u' Omarbhagh']",2548,Padmanabhanagar,17451
134,Krishna.V (BJP),17238,36234,Backward Category A,0.68,Bapuji Nagar,312,"['Shamanna Nagar', ' Guddadahalli', ' Manjunath Nagar', ' Kuvempu Nagar', ' New Guddadahalli', ' Anatha Nagar', ' Bapuji Nagar', ' Chowdappa Layout']",1564,Vijayanagar,18996
154,B.S.Sathyanarayana (BJP),17619,36015,General,1.17,Basavanagudi,159,"['Basavanagudi (P)', ' N R Colony', ' Tata Silk Farm', ' Tyagaraja Nagar']",956,Basavanagudi,18396
53,K.Poornima (INC),10518,22012,General,6.28,Basavanapura,325,"['Devasandra Extension', ' Hale Devasandra', ' NorthGokul Extension', ' Chikka Basavanapura', ' Basavanapura', ' Shigehalli', ' Bharathi Nagar', ' EastSwathnta Nagar', ' Yellamallappa Chetty kere']",4115,K R Puram,11494
100,S.H.Padmaraj (BJP),12798,27002,Backward Category A,0.84,Basaveshwara Nagar,234,"['LIC colony', ' Manjunath Nagar 3rd stage', ' Saneguruvanahalli', ' Basaveshwara Nagar (P)']",1236,Rajajinagar,14204
192,M.Srinivas (JD (S)),9388,19287,Backward Category B,18.8,Begur,148,"['Nobo Nagar', ' K Agrahara', ' Ramanashree Nagar', ' ITM Institute of Hotel Management', ' Suprithi Vinayaka Nagar', ' Ganapathi Nagar', ' Indra Prastha Colony', ' Dodda Kammanahalli', ' Kamakshi Layout', ' Lakshmi Layout', ' Varalakshmi Layout', ' Baraten Agrahar', ' Dodda Thoguru (P)', ' Chikka Kammmanahalli', ' Smiriti Layout', ' Incity Layout', ' Thejashiwini Nagar 2nd Phase', ' Lotus Layout', ' Canara Bank Layout 2nd Stage', ' Malisandra', ' Value City', ' Akshaya Nagar', ' DFL Project New Town', ' Hugi Bande Garden', ' Classic Layout', ' Gyanappahalli', ' Begur', ' Duo Heights Layout', ' Chamundi Nagar', ' Devarachiknahalli', ' Royal Memorial Layout', ' Amaloodava Nagar', ' Mohan Layout', ' AECS Layout', ' HAL Layout', ' MICO Layout', ' Subhash Nagar', ' Residential Layout', ' Devendra Nagar', ' Viveknanda Nagar', ' Sushrshurthi Nagar', ' Basavapura', ' Marthi Layout', ' Dreams Paradise Layout', ' Sudhrashan Nagar', ' RR Layout', ' Pragathi Nagar', ' Chikkathoguru', ' Vishwapriya Nagar']",3488,Bangalore South,9899
150,Babu Reddy.B.P (INC),9708,20526,Backward Category B,26.37,Bellanduru,101,"[u'Green Glen layout', u' Annaiah Layout', u' Haraluru', u' Kaikondahalli', u' Gayatri Layout', u' CSB Layout', u' Blooming Dale layout', u' KPCL Layout', u' Jayaramareddy Layout', u' Junnasandra', u' Dodda Kannalli', u' Owner\u2019s Court Layout', u' Bovi Colony', u' Amruth Nagar', u' Eastwood Layout', u' Royal Classic Layout', u' Lake view layout', u' Kasavanahalli', u' Ambalipura', u' Bhoganahalli', u' Devarabeesanahalli', u' Bellanduru', u' Kariammana Agrahara', u' Kadubeesanahalli', u' Ayyappa nagar', u' PB Layout', u' Manjunatha Layout', u' CKB Layout', u' Veerappa reddy Layout', u' Bora reddy Layout', u' Shantiniketana Layout', u' Patel Layout', u' Vinayaka Layout', u' KPTCL Layout', u' Janatha Colony', u' Doddakannali kere', u' Challaghatta', u' Belur Nagasandra', u' BWSSB Quarters', u' Ambedkar Colony (Belur Nagasandra)', u' Kempapura', u' Bellandur Tank']",5838,Mahadevpura,10818
50,Dayanand.N (BJP),14979,31985,Scheduled Caste,4.92,Benniganahalli,947,"['Gajendra Nagara', ' Old Bayappanahalli Ambedkar Nagar', ' Mallappa Garden', ' Sanjay Gandhi Nagar', ' Krishnaiahna Palya', ' Income Tax Layout', ' Yarratippaiah Layout', ' NGEF Hosnagara', ' Sadananda Nagar', ' Benniganahalli', ' Rajiv Nagar', ' Kasturi Nagar', ' Chikka Banasavadi', ' Pillareddy Nagar', ' Pulla Reddy Nagar', ' Doctor Layout', ' Lalbahaddur Nagar', ' Ramaiah Reddy Colony', ' B.Channasandra', ' Bacchanna Layout']",7346,C V Raman Nagar,17006
91,Shakeel Ahmed (INC),16160,32632,General,0.78,Bharathi Nagar,185,"['Bharathi Nagar', ' Sivan Chetty Garden', ' Tandaram Nagar']",1613,Shivajinagar,16472
188,M.Roopa Ramesh (BJP),10460,22510,General (Women),4.24,Bilekhalli,260,"['Kuvempu Nagar', ' Basavalingappa Layout', ' Bilekhalli', ' Anugrah Layout', ' IIM - Ragavendra Colony', ' Sunder Ramshetty Nagar', ' Shanbogh Nagappa Layout', ' Venugopal Layout', ' BTM Layout 4th Stage', ' Vijaya Bank Layout', ' Sri Satya Sai Layout', ' Doctors Layout', ' Rotary Nagar', ' Vijayshree Layout', ' Vakil Maria Layout', ' Kodi Chikkanhalli', ' Virat Nagar', ' Lake City', ' Sarvabhouma Nagar']",3988,Bommanahalli,12050
121,Srividya (INC),16499,33946,Backward Category A (Women),0.77,Binnipete,692,"['Binnipete', ' Gopalapura (P)', ' Kempapura Agrahara (P)']",16499,Gandhinagar,17447
175,Manjunath Reddy B.S (BJP),11242,24307,General,1.85,Bommanahalli,138,"['Rupena Agrahara', ' Virat Nagar', ' Krishna Reddy Layout', ' Bommanahalli', ' Shamanna Reddy Layout', ' Basappa Layout', ' Seenappa Layout', ' Muneswara Layout (P)', ' New Reddy Layout', ' Krishna Layout', ' Sri M Vishveswaraiah Colony', ' Rotary Nagar (P)']",2767,Bommanahalli,13065
176,G.N.R.Babu (INC),15934,34436,General,2.13,BTM Layout,247,"['Vysya Bank Colony', ' MICO Layout', ' Nainappa Setty playa', ' BTM Layout 2nd Stage', ' Someshwar Colony', ' KAS officers colony', ' Central Excise and Customs quarters', ' Madina Nagar', ' Abbayyappa Layout', ' Ambedkar slum']",1512,B T M Layout,18502
7,Indira (INC),14735,31400,Scheduled Tribe,9.6,Byatarayanapura,1383,"['UAS Teacher Layout', ' Jakkuru Aerodrome', ' Jakkuru (P)', ' Shoba apartments', ' Arkavathy Layout Block I', ' Talakaveri Layout', ' Jakkuru Layout', ' L & T Layout', ' Hoysala Layout', ' Amruthalli', ' Muniswamiappa Layout', ' Amruth Nagar', ' Samruthi Nagar', ' Shabhari Nagar', ' Arkavathi Layout', ' Byatarayanapura', ' Hebbal Kempapura', ' Venkate gowda Layout', ' Pampa extension', ' Vinayaka Layout 1 and 2', ' Chiranjeevi Layout', ' Muniswamy gowda layout', ' Vayunandana Layout', ' Yogesh Layout', ' Kariyanna Layout', ' Nagavara Kere', ' Coffee Board layout', ' Vishveshwar Layout', ' Sahakara Nagar (P) A - E - F & G Blocks', ' Sanjeevini Nagar', ' Military Farm']",3085,Byatarayanapura,16665
169,N.Nagaraju (BJP),14878,30638,Backward Category A,0.87,Byrasandra,73,"['Bairasandra Extension', ' Jayanagar 3rd Block East', ' Canara Bank Colony', ' BCC Layout', ' LIC Colony']",3767,Jayanagar,15760
138,Rekha (BJP),12138,25319,Scheduled Caste,0.4,Chalavadipalya,86,"['Sultan Nagar', ' Jai Bhumi Nagar', ' Anjanappa Garden', ' Siddharth Nagar', ' Doreswamy Nagar', ' Bhangi Colony', ' Chalavadipalya', ' CAR Police Quarters (P)', ' Giripuram']",12632,Chamarajpet,13181
140,B.V.Ganesh (BJP),16205,33398,Backward Category A,1.03,Chamrajapet,469,"['Chamarajpet', ' Raghavendra Colony', ' Nanjamba Agrahara']",948,Chamarajpet,17193
