reservation,ward_no,ward_name,representative
General,147,Adugodi,S.M.Murugesh Modaliyar (INC)
Scheduled Caste,114,Agaram,Sarala (INC)
Backward Category A (Women),105,Agrahara Dasarahalli,Roopa Devi (BJP)
Backward Category A,56,A Narayanapura,S.S.Prasad (BJP)
General,196,Anjanapura,S.Gangadhar (INC)
General,193,Arakere,A.N.Purushotham (BJP)
General,35,Aramane Nagara,Dr.M.S.Shiva Prasad (BJP)
General,132,Attiguppe,K.Doddanna (INC)
General (Women),3,Atturu,K.N.Geetha Shashikumar (BJP)
General (Women),141,Azad Nagar,Gowramma (INC)
General,14,Bagalakunte,B.R.Chandrashekhar (BJP)
General,27,Banasavadi,A.Kodanda Reddy (BJP)
General,180,Banashankari Temple ward,Mohammed Ali (JD (S))
Backward Category A,134,Bapuji Nagar,Krishna.V (BJP)
General,154,Basavanagudi,B.S.Sathyanarayana (BJP)
General,53,Basavanapura,K.Poornima (INC)
Backward Category A,100,Basaveshwara Nagar,S.H.Padmaraj (BJP)
Backward Category B,192,Begur,M.Srinivas (JD (S))
Backward Category B,150,Bellanduru,Babu Reddy.B.P (INC)
Scheduled Caste,50,Benniganahalli,Dayanand.N (BJP)
General,91,Bharathi Nagar,Shakeel Ahmed (INC)
General (Women),188,Bilekhalli,M.Roopa Ramesh (BJP)
Backward Category A (Women),121,Binnipete,Srividya (INC)
General,175,Bommanahalli,Manjunath Reddy B.S (BJP)
General,176,BTM Layout,G.N.R.Babu (INC)
Scheduled Tribe,7,Byatarayanapura,Indira (INC)
Backward Category A,169,Byrasandra,N.Nagaraju (BJP)
Scheduled Caste,138,Chalavadipalya,Rekha (BJP)
Backward Category A,140,Chamrajapet,B.V.Ganesh (BJP)
General,109,Chickpete,A.L.Shivakumar (BJP)
General,183,Chikkalsandra,B.S.Venkataswamy Naidu (BJP)
Backward Category A,39,Chokkasandra,M.Muniswamy (JD (S))
Backward Category A (Women),2,Chowdeswari Ward,K.V. Yashodha (BJP)
Backward Category A (Women),120,Cottonpete,Vasanth Kumari (BJP)
Backward Category A,57,C V Raman Nagar,M.Krishnappa (BJP)
General,77,Dattatreya Temple,R.S. Sathyanarayana (INC)
Scheduled Caste,97,Dayananda Nagar,Shakeela.M (INC)
Backward Category A (Women),158,Deepanjali Nagar,Malathi (BJP)
Scheduled Caste,47,Devara Jeevanahalli,Sampath Raj .R (INC)
Backward Category B,55,Devasandra,R.Manjula Devi (BJP)
Backward Category A,119,Dharmaraya Swamy Temple,P.Dhanaraj (BJP)
General (Women),40,Dodda Bidarakallu,T.A.Gayathri (JD (S))
General,10,Dodda Bommasandra,M E Pillappa (BJP)
General,85,Dodda Nekkundi,Sridhar Reddy (BJP)
General (Women),112,Domlur,Geetha Srinivasa Reddy (BJP)
General,106,Dr. Raj Kumar Ward,Gangabyraiah (BJP)
General (Women),148,Ejipura,P.M.Saroja (INC)
General,157,Gali Anjenaya Temple ward,B.S.Anand (BJP)
General,94,Gandhinagar,S. Nataraj (INC)
Backward Category A,165,Ganesh Mandir ward,L.Govindaraj (INC)
General,20,Ganga Nagar,Anand.V (BJP)
General,34,Gangenahalli,M.Nagaraj (BJP)
General,82,Garudachar Playa,N.Pillappa (INC)
General (Women),76,Gayithri Nagar,Chethan Gowda (BJP)
